"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Myocd"	0	0.282232690115826	0.378	0.005	0	"Cardiomyocytes"	"Myocd"
"Zbtb20"	0	0.281044884712561	0.367	0.028	0	"Cardiomyocytes"	"Zbtb20"
"Tmem163"	0	0.280649385173431	0.288	0.022	0	"Cardiomyocytes"	"Tmem163"
"Grb14"	0	0.275407647831238	0.328	0.02	0	"Cardiomyocytes"	"Grb14"
"Rassf5"	0	0.275145390865967	0.343	0.002	0	"Cardiomyocytes"	"Rassf5"
"Ldb3"	0	0.271629509773165	0.332	0.002	0	"Cardiomyocytes"	"Ldb3"
"Hand21"	0	0.268874715750642	0.415	0.071	0	"Cardiomyocytes"	"Hand2"
"Synpo2l"	0	0.262502530416638	0.313	0.009	0	"Cardiomyocytes"	"Synpo2l"
"Alcam"	0	0.25792497628548	0.333	0.044	0	"Cardiomyocytes"	"Alcam"
"Bmp5"	0	0.255928507888511	0.383	0.047	0	"Cardiomyocytes"	"Bmp5"
"Casz1"	0	0.255185947274653	0.374	0.049	0	"Cardiomyocytes"	"Casz1"
"Lsp1"	0	0.251835332656197	0.37	0.057	0	"Cardiomyocytes"	"Lsp1"
"Maged11"	1.73098019314733e-304	0.658990237498298	0.976	0.754	3.86164371289239e-300	"Cardiomyocytes"	"Maged1"
"Gng11"	2.36026806127457e-302	0.284768105967761	0.458	0.116	5.26552201789744e-298	"Cardiomyocytes"	"Gng11"
"Meis1"	1.34309973233185e-301	0.276351138776802	0.426	0.103	2.99632119285913e-297	"Cardiomyocytes"	"Meis1"
"Tpm42"	2.6355462355182e-301	0.641831488210821	0.993	0.894	5.87964009681755e-297	"Cardiomyocytes"	"Tpm4"
"Crip1"	1.05626694329983e-290	1.19651129175291	0.638	0.275	2.35642592380759e-286	"Cardiomyocytes"	"Crip1"
"Idh2"	6.37473362929871e-287	0.623095921209812	0.957	0.785	1.42213932536025e-282	"Cardiomyocytes"	"Idh2"
"Vim2"	2.8170614894241e-283	0.48035061163578	0.883	0.434	6.28458247675623e-279	"Cardiomyocytes"	"Vim"
"Maged21"	1.48028542465194e-282	0.675945127299118	0.737	0.348	3.30236875385602e-278	"Cardiomyocytes"	"Maged2"
"Tuba1a1"	2.40050635551858e-281	0.709216457208127	0.999	0.851	5.35528962852639e-277	"Cardiomyocytes"	"Tuba1a"
"Kif5b2"	7.19218976035132e-281	0.567895489834805	0.97	0.889	1.60450561363678e-276	"Cardiomyocytes"	"Kif5b"
"Cyr61"	1.22907938172351e-279	0.675622107193248	0.77	0.369	2.74195319268698e-275	"Cardiomyocytes"	"Cyr61"
"Bmp71"	2.2184576963813e-278	0.307392745047047	0.512	0.154	4.94915727485704e-274	"Cardiomyocytes"	"Bmp7"
"Ndn1"	7.36762133342526e-276	0.501740164193872	0.788	0.369	1.64364264327384e-271	"Cardiomyocytes"	"Ndn"
"Ddt"	1.00597110877679e-269	0.55366293466249	0.985	0.881	2.24422094657013e-265	"Cardiomyocytes"	"Ddt"
"Hmga21"	8.95535548122017e-268	0.597735519986031	0.929	0.61	1.99785025430541e-263	"Cardiomyocytes"	"Hmga2"
"Igfbpl1"	1.54350015683068e-267	0.600890912359869	0.482	0.149	3.44339449987357e-263	"Cardiomyocytes"	"Igfbpl1"
"Ddc"	6.3576208843075e-256	0.294600259148044	0.501	0.155	1.41832164308016e-251	"Cardiomyocytes"	"Ddc"
"Bmp21"	1.74826324359993e-255	0.294202800577325	0.363	0.087	3.90020047014709e-251	"Cardiomyocytes"	"Bmp2"
"Id2"	2.89240939042171e-249	0.555982932389096	0.977	0.679	6.45267610909179e-245	"Cardiomyocytes"	"Id2"
"Mdk1"	1.2003940697454e-242	0.559261557093969	1	0.969	2.677959130195e-238	"Cardiomyocytes"	"Mdk"
"Mum1l1"	7.2165499379371e-240	0.315229912110132	0.605	0.227	1.60994012565439e-235	"Cardiomyocytes"	"Mum1l1"
"Fhl1"	6.32917578065403e-239	0.688501466221405	0.809	0.459	1.41197582490611e-234	"Cardiomyocytes"	"Fhl1"
"Gabarap1"	7.89308600773733e-239	0.459651183026371	0.981	0.855	1.76086855746612e-234	"Cardiomyocytes"	"Gabarap"
"Cfl21"	1.52507947690046e-231	0.47062270775114	0.932	0.7	3.40229980501723e-227	"Cardiomyocytes"	"Cfl2"
"Phlda13"	7.0616792289321e-226	0.576214933094819	0.853	0.485	1.57539001918246e-221	"Cardiomyocytes"	"Phlda1"
"Ap1s2"	1.0435090675853e-223	0.274195426755077	0.371	0.101	2.32796437887606e-219	"Cardiomyocytes"	"Ap1s2"
"Mgarp"	9.93671820831205e-223	0.367904742517357	0.609	0.246	2.21678246509233e-218	"Cardiomyocytes"	"Mgarp"
"Tmsb101"	1.05503086711047e-222	0.438978049207617	1	0.979	2.35366836143674e-218	"Cardiomyocytes"	"Tmsb10"
"Atp1b1"	7.6342376133922e-222	0.39603721198206	0.603	0.229	1.70312206917167e-217	"Cardiomyocytes"	"Atp1b1"
"Rsu11"	3.73695539500699e-221	0.460783325626795	0.864	0.579	8.33677379072109e-217	"Cardiomyocytes"	"Rsu1"
"Arhgap1"	6.94176054962437e-221	0.395665411266527	0.651	0.297	1.5486373610157e-216	"Cardiomyocytes"	"Arhgap1"
"Hcfc1r1"	6.84380572042389e-218	0.672961151430969	0.774	0.482	1.52678461816937e-213	"Cardiomyocytes"	"Hcfc1r1"
"Mest2"	2.71026690082279e-217	0.730529275873988	0.931	0.674	6.04633442904555e-213	"Cardiomyocytes"	"Mest"
"Selenow"	8.62468760805698e-216	0.399518406787794	0.998	0.984	1.92408155848143e-211	"Cardiomyocytes"	"Selenow"
"Arid3b"	5.51905382086836e-215	0.405589804201847	0.71	0.356	1.23124571689752e-210	"Cardiomyocytes"	"Arid3b"
"Btg1"	8.95261484924256e-213	0.364268438043923	0.657	0.294	1.99723884671752e-208	"Cardiomyocytes"	"Btg1"
"Mfge8"	1.39754971250364e-207	0.450232015219595	0.622	0.284	3.11779365362437e-203	"Cardiomyocytes"	"Mfge8"
"Gbas"	1.6127378634547e-204	0.295927568550218	0.512	0.187	3.59785689958109e-200	"Cardiomyocytes"	"Gbas"
"Afdn"	2.26593752771666e-204	0.377527595922498	0.722	0.368	5.05508003058309e-200	"Cardiomyocytes"	"Afdn"
"Isl11"	4.8163523636748e-204	0.343941637209923	0.342	0.092	1.07448004881221e-199	"Cardiomyocytes"	"Isl1"
"H191"	8.20640954355962e-203	0.460466457978714	0.978	0.625	1.83076790507272e-198	"Cardiomyocytes"	"H19"
"P3h41"	6.32082562893242e-202	0.258308825572306	0.459	0.154	1.41011298955853e-197	"Cardiomyocytes"	"P3h4"
"Cfc11"	3.17688505554804e-201	0.324243391683979	0.525	0.187	7.08731287042212e-197	"Cardiomyocytes"	"Cfc1"
"Bex31"	7.46494056070308e-201	0.391024672819046	1	0.997	1.66535358968725e-196	"Cardiomyocytes"	"Bex3"
"Ociad2"	1.16676028140898e-196	0.297992037316717	0.396	0.125	2.60292551179529e-192	"Cardiomyocytes"	"Ociad2"
"Ckb"	8.15183643206919e-195	0.836062490615041	0.696	0.39	1.81859318963032e-190	"Cardiomyocytes"	"Ckb"
"Actn1"	1.38785724937844e-191	0.443421011303405	0.857	0.573	3.09617073763836e-187	"Cardiomyocytes"	"Actn1"
"Qk"	4.7084966397169e-188	0.379144521409408	0.697	0.377	1.05041851535444e-183	"Cardiomyocytes"	"Qk"
"Grb101"	4.49379138346515e-187	0.427317851426724	0.823	0.533	1.00251991973724e-182	"Cardiomyocytes"	"Grb10"
"Pgm2"	5.87822935405904e-183	0.416932139955167	0.671	0.352	1.31137418659703e-178	"Cardiomyocytes"	"Pgm2"
"Shisa21"	2.37807563338395e-179	0.285899524256078	0.44	0.15	5.30524893051625e-175	"Cardiomyocytes"	"Shisa2"
"Ppic3"	1.08051153786871e-174	0.396604116200019	0.828	0.511	2.41051318983131e-170	"Cardiomyocytes"	"Ppic"
"Tceal8"	5.7967043288607e-173	0.377938631380507	1	0.939	1.29318676872553e-168	"Cardiomyocytes"	"Tceal8"
"Gmpr"	2.36906794039486e-169	0.274811933224665	0.39	0.131	5.28515366822689e-165	"Cardiomyocytes"	"Gmpr"
"Nenf1"	6.1641105983303e-163	0.362810711608686	0.774	0.482	1.37515143338151e-158	"Cardiomyocytes"	"Nenf"
"Fstl1"	1.09928785573192e-162	0.305771894573685	0.684	0.34	2.45240127735234e-158	"Cardiomyocytes"	"Fstl1"
"Ugdh1"	1.09939407769669e-162	0.386275906193756	0.74	0.422	2.45263824793355e-158	"Cardiomyocytes"	"Ugdh"
"Cdh22"	1.3693957408826e-161	0.289126263839183	0.565	0.247	3.054984958335e-157	"Cardiomyocytes"	"Cdh2"
"Cst31"	2.6779929895163e-161	0.493670835044488	0.978	0.899	5.97433456031192e-157	"Cardiomyocytes"	"Cst3"
"Gadd45g3"	1.96199645955913e-159	0.374697349532497	0.619	0.288	4.37701790163045e-155	"Cardiomyocytes"	"Gadd45g"
"Mtch1"	1.2407948609465e-157	0.365741423735621	0.915	0.737	2.76808925528555e-153	"Cardiomyocytes"	"Mtch1"
"Cd811"	1.9471673532949e-157	0.370975653986515	0.985	0.906	4.34393564846559e-153	"Cardiomyocytes"	"Cd81"
"Bok"	1.65620792703538e-154	0.391888484855684	0.581	0.288	3.69483426442322e-150	"Cardiomyocytes"	"Bok"
"Gpc3"	4.78566881422879e-153	0.400448024346434	0.913	0.619	1.0676348557663e-148	"Cardiomyocytes"	"Gpc3"
"Clic13"	5.674475585577e-150	0.356490336872441	0.97	0.837	1.26591875838637e-145	"Cardiomyocytes"	"Clic1"
"Tln1"	8.51849457748761e-149	0.323498587926836	0.659	0.363	1.90039095529171e-144	"Cardiomyocytes"	"Tln1"
"Rala1"	2.52974369846107e-148	0.345858790589352	0.955	0.844	5.6436052168968e-144	"Cardiomyocytes"	"Rala"
"Cald11"	2.47355272005405e-147	0.403282709422209	0.813	0.517	5.51824876316857e-143	"Cardiomyocytes"	"Cald1"
"Tceal91"	3.2876941294241e-146	0.398580059194109	1	0.987	7.33451683333222e-142	"Cardiomyocytes"	"Tceal9"
"Mylpf"	4.38804165266359e-146	0.294972382694356	0.296	0.092	9.78928212292721e-142	"Cardiomyocytes"	"Mylpf"
"Hspb1"	7.19340545420042e-146	1.06196646989811	0.51	0.254	1.60477682277757e-141	"Cardiomyocytes"	"Hspb1"
"Rgs101"	3.4067144413981e-145	0.299680422602649	0.555	0.259	7.60003924731503e-141	"Cardiomyocytes"	"Rgs10"
"Krcc11"	7.67915331692035e-141	0.318271388861475	0.763	0.481	1.71314231347176e-136	"Cardiomyocytes"	"Krcc1"
"Slc16a3"	1.76351779989268e-140	0.441604955327379	0.963	0.844	3.93423185978057e-136	"Cardiomyocytes"	"Slc16a3"
"Fbln11"	3.29039403611219e-140	0.331894112781725	0.767	0.477	7.34054005516268e-136	"Cardiomyocytes"	"Fbln1"
"Higd1a"	2.61887532058083e-138	0.386825496471356	0.988	0.971	5.84244895268377e-134	"Cardiomyocytes"	"Higd1a"
"Tmsb4x1"	3.36004356903172e-137	0.438082388436014	0.978	0.848	7.49592119815286e-133	"Cardiomyocytes"	"Tmsb4x"
"Dcaf12l1"	1.92890031565818e-135	0.325748693364508	0.323	0.11	4.30318371420184e-131	"Cardiomyocytes"	"Dcaf12l1"
"Ppp1r1a"	1.04605632929345e-132	0.255408361551978	0.647	0.341	2.33364706502076e-128	"Cardiomyocytes"	"Ppp1r1a"
"Bnip3"	2.08884337764761e-132	0.489499900472826	0.874	0.72	4.66000069119406e-128	"Cardiomyocytes"	"Bnip3"
"Pdcd51"	6.94180311186223e-131	0.318006290120207	0.993	0.971	1.54864685622534e-126	"Cardiomyocytes"	"Pdcd5"
"Rbm382"	9.27927990992349e-131	0.360382192770991	0.843	0.584	2.07011455510483e-126	"Cardiomyocytes"	"Rbm38"
"Prtg"	2.75406882395271e-129	0.367265038861066	0.843	0.559	6.14405213935611e-125	"Cardiomyocytes"	"Prtg"
"Calr1"	8.23611134279514e-129	0.301218956154963	0.99	0.965	1.83739407946417e-124	"Cardiomyocytes"	"Calr"
"Etfb"	2.93908659734596e-128	0.361167053939597	0.945	0.856	6.55680829001911e-124	"Cardiomyocytes"	"Etfb"
"Ddah22"	2.55816388988279e-127	0.352025305000142	0.879	0.667	5.70700782193952e-123	"Cardiomyocytes"	"Ddah2"
"Rhoc1"	1.00878319312258e-116	0.362351632289646	0.815	0.583	2.25049442553717e-112	"Cardiomyocytes"	"Rhoc"
"Actb1"	4.27703119368968e-114	0.350707417770066	0.998	0.997	9.54162889000231e-110	"Cardiomyocytes"	"Actb"
"Kcnq1ot1"	1.36722063999216e-113	0.29936925824276	0.681	0.422	3.05013252575852e-109	"Cardiomyocytes"	"Kcnq1ot1"
"Fam162a"	1.13571802770738e-112	0.389481877518702	0.981	0.932	2.53367334801239e-108	"Cardiomyocytes"	"Fam162a"
"Cox17"	7.5115469428924e-104	0.295977811147021	0.925	0.8	1.67575100748987e-99	"Cardiomyocytes"	"Cox17"
"Rbbp71"	7.72459870790268e-100	0.275887753908196	0.997	0.972	1.72328072574601e-95	"Cardiomyocytes"	"Rbbp7"
"Jun2"	1.23924828569194e-99	0.28847894791674	0.609	0.351	2.76463900055015e-95	"Cardiomyocytes"	"Jun"
"Pim31"	8.03408812929616e-99	0.271640105465528	0.658	0.405	1.79232472076468e-94	"Cardiomyocytes"	"Pim3"
"Ccdc107"	4.08734354918115e-98	0.250674032676351	0.509	0.275	9.11845472386824e-94	"Cardiomyocytes"	"Ccdc107"
"Cd24a1"	4.26903127501427e-97	0.344451809452435	0.989	0.846	9.52378187142934e-93	"Cardiomyocytes"	"Cd24a"
"Xbp1"	8.16387861004985e-97	0.309939718179872	0.784	0.557	1.82127967911602e-92	"Cardiomyocytes"	"Xbp1"
"Arl3"	1.27506646520907e-96	0.268911577652482	0.91	0.736	2.84454577723491e-92	"Cardiomyocytes"	"Arl3"
"Flna"	2.3586377048156e-91	0.262229900381647	0.568	0.331	5.26188485567312e-87	"Cardiomyocytes"	"Flna"
"Fam213a"	1.20637324697694e-85	0.325714561546599	0.778	0.566	2.69129807668085e-81	"Cardiomyocytes"	"Fam213a"
"Cdo1"	3.03922118302513e-84	0.281141108363252	0.26	0.098	6.78019853721076e-80	"Cardiomyocytes"	"Cdo1"
"Fam195b"	4.79699329128199e-83	0.25263280722414	0.879	0.721	1.0701612333521e-78	"Cardiomyocytes"	"Fam195b"
"Malat12"	1.13850431216754e-80	0.355819965069513	0.968	0.956	2.53988927001456e-76	"Cardiomyocytes"	"Malat1"
"Peg31"	1.27470870903216e-76	0.264199347462962	0.789	0.566	2.84374765897985e-72	"Cardiomyocytes"	"Peg3"
"Ier22"	1.60096021330405e-75	0.303178612534248	0.904	0.78	3.57158213986001e-71	"Cardiomyocytes"	"Ier2"
"H2afy1"	1.9014050562366e-74	0.250496116837511	0.89	0.714	4.24184453995824e-70	"Cardiomyocytes"	"H2afy"
"Bcat1"	3.06293263011679e-70	0.307167761988183	0.758	0.565	6.83309640452755e-66	"Cardiomyocytes"	"Bcat1"
"Hsp90b11"	5.07956792492985e-69	0.268509427879942	0.978	0.97	1.1332008083726e-64	"Cardiomyocytes"	"Hsp90b1"
"Manf2"	8.19157140870163e-56	0.265609217926981	0.989	0.979	1.82745766556725e-51	"Cardiomyocytes"	"Manf"
"Jund"	4.6808436164869e-52	0.254363027009104	0.732	0.594	1.04424940240206e-47	"Cardiomyocytes"	"Jund"
"Ccnd22"	1.86353478080707e-43	0.322968220297704	0.79	0.631	4.15735974250248e-39	"Cardiomyocytes"	"Ccnd2"
"Cdx1"	0	1.73283421729965	0.944	0.191	0	"Caudal epiblast"	"Cdx1"
"Grsf1"	0	1.28812270855669	0.98	0.601	0	"Caudal epiblast"	"Grsf1"
"Cdx21"	0	1.12519067294446	0.972	0.348	0	"Caudal epiblast"	"Cdx2"
"T1"	0	1.09811808954778	0.668	0.226	0	"Caudal epiblast"	"T"
"Nkx1-2"	0	1.04021036692227	0.898	0.106	0	"Caudal epiblast"	"Nkx1-2"
"Hoxa1"	0	1.02841342403369	0.849	0.2	0	"Caudal epiblast"	"Hoxa1"
"Rbp1"	0	0.948042037384933	0.994	0.649	0	"Caudal epiblast"	"Rbp1"
"Fst1"	0	0.912972582745971	0.894	0.302	0	"Caudal epiblast"	"Fst"
"Pou5f11"	0	0.823377941416514	0.996	0.537	0	"Caudal epiblast"	"Pou5f1"
"Hoxaas3"	0	0.78603892496443	0.554	0.141	0	"Caudal epiblast"	"Hoxaas3"
"Cxx1b"	0	0.777397586876615	0.841	0.341	0	"Caudal epiblast"	"Cxx1b"
"Sp51"	0	0.744157263247009	0.893	0.277	0	"Caudal epiblast"	"Sp5"
"Hoxb1"	0	0.713514274963173	0.813	0.196	0	"Caudal epiblast"	"Hoxb1"
"Tceal81"	0	0.705556777316681	0.999	0.939	0	"Caudal epiblast"	"Tceal8"
"Ldhb1"	0	0.646785469150344	0.987	0.71	0	"Caudal epiblast"	"Ldhb"
"Cxx1a"	0	0.64060727613188	0.861	0.376	0	"Caudal epiblast"	"Cxx1a"
"Phlda3"	0	0.602745274247051	0.703	0.292	0	"Caudal epiblast"	"Phlda3"
"Crabp2"	0	0.597167015828512	0.876	0.413	0	"Caudal epiblast"	"Crabp2"
"Hoxb8"	0	0.590118409285845	0.498	0.126	0	"Caudal epiblast"	"Hoxb8"
"Apela"	0	0.564522324310922	0.67	0.169	0	"Caudal epiblast"	"Apela"
"Tspan13"	0	0.555222745466189	0.941	0.578	0	"Caudal epiblast"	"Tspan13"
"Bcat11"	0	0.522131729722101	0.89	0.561	0	"Caudal epiblast"	"Bcat1"
"Ccnd23"	0	0.498372399516779	0.967	0.626	0	"Caudal epiblast"	"Ccnd2"
"Hoxb21"	0	0.497470031010503	0.778	0.287	0	"Caudal epiblast"	"Hoxb2"
"Fgfbp3"	0	0.496295958048188	0.471	0.075	0	"Caudal epiblast"	"Fgfbp3"
"Nefm"	0	0.489592768121874	0.6	0.138	0	"Caudal epiblast"	"Nefm"
"Etv4"	0	0.488392985008343	0.668	0.217	0	"Caudal epiblast"	"Etv4"
"Hotairm1"	0	0.486500486496818	0.609	0.147	0	"Caudal epiblast"	"Hotairm1"
"Gbx2"	0	0.485721300662382	0.607	0.1	0	"Caudal epiblast"	"Gbx2"
"Hes3"	0	0.484553784232832	0.547	0.087	0	"Caudal epiblast"	"Hes3"
"Zfp428"	0	0.484043505991115	0.908	0.682	0	"Caudal epiblast"	"Zfp428"
"Oat1"	0	0.464342392563667	0.962	0.723	0	"Caudal epiblast"	"Oat"
"Slc2a1"	0	0.444837709633317	0.971	0.869	0	"Caudal epiblast"	"Slc2a1"
"Eno1"	0	0.435762913899565	1	0.995	0	"Caudal epiblast"	"Eno1"
"Lhpp"	0	0.433350545981437	0.683	0.257	0	"Caudal epiblast"	"Lhpp"
"Hes7"	0	0.416963530992239	0.484	0.099	0	"Caudal epiblast"	"Hes7"
"Akr1b3"	0	0.416716752892468	0.989	0.923	0	"Caudal epiblast"	"Akr1b3"
"Nr6a1"	0	0.397997709226421	0.688	0.367	0	"Caudal epiblast"	"Nr6a1"
"Apln"	0	0.396813936008173	0.547	0.137	0	"Caudal epiblast"	"Apln"
"Cited23"	0	0.387850085019582	0.979	0.802	0	"Caudal epiblast"	"Cited2"
"Set"	0	0.355201381489427	1	1	0	"Caudal epiblast"	"Set"
"Cdkn1a"	0	0.353246748151802	0.521	0.147	0	"Caudal epiblast"	"Cdkn1a"
"Epha1"	0	0.350793774822255	0.566	0.174	0	"Caudal epiblast"	"Epha1"
"Ptk7"	0	0.331129545425919	0.683	0.335	0	"Caudal epiblast"	"Ptk7"
"Stmn2"	0	0.329522428700237	0.695	0.342	0	"Caudal epiblast"	"Stmn2"
"Sema6a"	0	0.327311394695536	0.563	0.216	0	"Caudal epiblast"	"Sema6a"
"Pak1"	0	0.326069405816475	0.612	0.269	0	"Caudal epiblast"	"Pak1"
"Foxb1"	0	0.324036373395814	0.468	0.115	0	"Caudal epiblast"	"Foxb1"
"Mgst1"	0	0.314390867615269	0.521	0.206	0	"Caudal epiblast"	"Mgst1"
"Cdx4"	0	0.296209612488629	0.42	0.115	0	"Caudal epiblast"	"Cdx4"
"Fabp7"	0	0.290535730876285	0.427	0.106	0	"Caudal epiblast"	"Fabp7"
"Nefl"	0	0.281594512670524	0.628	0.287	0	"Caudal epiblast"	"Nefl"
"Rxrg"	0	0.27765615124933	0.441	0.086	0	"Caudal epiblast"	"Rxrg"
"Gal"	0	0.272742136271221	0.272	0.049	0	"Caudal epiblast"	"Gal"
"Wnt8a"	0	0.260362177221814	0.376	0.041	0	"Caudal epiblast"	"Wnt8a"
"Zfp703"	0	0.259982218757056	0.404	0.105	0	"Caudal epiblast"	"Zfp703"
"Igfbp21"	2.3380159356907e-290	0.316817434732417	0.967	0.63	5.21587975093239e-286	"Caudal epiblast"	"Igfbp2"
"Bex4"	3.44985064897166e-276	0.306004666287619	1	0.931	7.69627181279088e-272	"Caudal epiblast"	"Bex4"
"Fabp5"	2.88838514655175e-269	0.335513027500568	0.99	0.871	6.4436984234423e-265	"Caudal epiblast"	"Fabp5"
"Pim1"	5.29339465095082e-263	0.34942728120645	0.613	0.341	1.18090341268062e-258	"Caudal epiblast"	"Pim1"
"Psip1"	6.76943308467552e-257	0.301734556551325	1	0.953	1.51019282686026e-252	"Caudal epiblast"	"Psip1"
"Pclaf"	2.51455752296681e-256	0.340168211313807	0.999	0.932	5.60972637798665e-252	"Caudal epiblast"	"Pclaf"
"Frzb1"	3.60882773317723e-256	0.329797014968389	0.522	0.242	8.05093378994509e-252	"Caudal epiblast"	"Frzb"
"Prtg1"	1.8759517499135e-251	0.305967717634253	0.879	0.555	4.18506075888202e-247	"Caudal epiblast"	"Prtg"
"Skap2"	2.70421921646202e-243	0.269576206727079	0.586	0.309	6.03284265000513e-239	"Caudal epiblast"	"Skap2"
"Tgif1"	9.32782054076835e-238	0.306969532444582	0.874	0.618	2.08094348444001e-233	"Caudal epiblast"	"Tgif1"
"Marcksl1"	2.04759856328772e-231	0.264864842168331	1	0.982	4.56798763483857e-227	"Caudal epiblast"	"Marcksl1"
"Sox11"	2.04852957447607e-211	0.274385092087304	0.78	0.492	4.57006462769867e-207	"Caudal epiblast"	"Sox11"
"Ddit4"	1.76265287621931e-197	0.256257535956911	0.449	0.212	3.93230230155766e-193	"Caudal epiblast"	"Ddit4"
"Ccnd1"	1.1613347953378e-196	0.295680736140949	0.875	0.612	2.59082179491911e-192	"Caudal epiblast"	"Ccnd1"
"Epop"	1.24185584640859e-194	0.268738000623748	0.802	0.573	2.77045620775292e-190	"Caudal epiblast"	"Epop"
"Fscn1"	3.27849008614249e-194	0.266783905239292	0.989	0.888	7.31398353317529e-190	"Caudal epiblast"	"Fscn1"
"Hmgb3"	7.28294694619149e-189	0.258622711180058	0.996	0.936	1.62475263422586e-184	"Caudal epiblast"	"Hmgb3"
"Ctbp2"	2.43982041750148e-179	0.266145010502701	0.795	0.584	5.44299536940406e-175	"Caudal epiblast"	"Ctbp2"
"Gja1"	2.34971196087139e-178	0.276813012846484	0.837	0.606	5.24197241350799e-174	"Caudal epiblast"	"Gja1"
"Cdca7"	5.95290227871094e-158	0.250308544424197	0.882	0.721	1.32803296935762e-153	"Caudal epiblast"	"Cdca7"
"Syngr2"	9.6708335276743e-113	0.303800271959856	0.632	0.465	2.15746625168886e-108	"Caudal epiblast"	"Syngr2"
"Cdx11"	0	1.72686676785608	0.971	0.199	0	"Caudal Mesoderm"	"Cdx1"
"Hoxaas31"	0	1.65445073170157	0.94	0.142	0	"Caudal Mesoderm"	"Hoxaas3"
"Grsf11"	0	1.53088573230602	0.993	0.604	0	"Caudal Mesoderm"	"Grsf1"
"T2"	0	1.37269878417928	0.978	0.228	0	"Caudal Mesoderm"	"T"
"Cdx22"	0	1.1711986087152	0.993	0.354	0	"Caudal Mesoderm"	"Cdx2"
"Fst2"	0	1.1203626296543	0.907	0.308	0	"Caudal Mesoderm"	"Fst"
"Rbp11"	0	1.09774523482076	0.993	0.652	0	"Caudal Mesoderm"	"Rbp1"
"Hes71"	0	1.02719808511046	0.864	0.1	0	"Caudal Mesoderm"	"Hes7"
"Rspo31"	0	1.01388168270222	0.889	0.264	0	"Caudal Mesoderm"	"Rspo3"
"Sp52"	0	0.973368052659275	0.94	0.283	0	"Caudal Mesoderm"	"Sp5"
"Fgf81"	0	0.943504553566711	0.961	0.314	0	"Caudal Mesoderm"	"Fgf8"
"Cdx41"	0	0.929723484812032	0.752	0.116	0	"Caudal Mesoderm"	"Cdx4"
"Hoxb81"	0	0.913676309960817	0.829	0.127	0	"Caudal Mesoderm"	"Hoxb8"
"Hoxb11"	0	0.897536379278707	0.898	0.201	0	"Caudal Mesoderm"	"Hoxb1"
"Etv41"	0	0.802585557525535	0.824	0.22	0	"Caudal Mesoderm"	"Etv4"
"Nkx1-21"	0	0.800900086976332	0.776	0.115	0	"Caudal Mesoderm"	"Nkx1-2"
"Mgst11"	0	0.763263260379839	0.751	0.207	0	"Caudal Mesoderm"	"Mgst1"
"Fgf17"	0	0.74770579157344	0.739	0.088	0	"Caudal Mesoderm"	"Fgf17"
"Hoxb22"	0	0.628232924672818	0.871	0.291	0	"Caudal Mesoderm"	"Hoxb2"
"Wnt5b"	0	0.60296643212395	0.682	0.146	0	"Caudal Mesoderm"	"Wnt5b"
"Crabp21"	0	0.575428678409461	0.93	0.417	0	"Caudal Mesoderm"	"Crabp2"
"Hoxa12"	0	0.568771530415339	0.756	0.207	0	"Caudal Mesoderm"	"Hoxa1"
"Ptk71"	0	0.551444175526348	0.8	0.338	0	"Caudal Mesoderm"	"Ptk7"
"Nefm1"	0	0.532039040308319	0.601	0.143	0	"Caudal Mesoderm"	"Nefm"
"Lhpp1"	0	0.520566918860793	0.729	0.26	0	"Caudal Mesoderm"	"Lhpp"
"Hoxb9"	0	0.516437130668808	0.572	0.09	0	"Caudal Mesoderm"	"Hoxb9"
"Wnt3a"	0	0.509485590283083	0.618	0.041	0	"Caudal Mesoderm"	"Wnt3a"
"Tbx6"	0	0.477974081207996	0.528	0.081	0	"Caudal Mesoderm"	"Tbx6"
"Evx1"	0	0.470059815222946	0.607	0.13	0	"Caudal Mesoderm"	"Evx1"
"Evx1os"	0	0.469128526344319	0.558	0.108	0	"Caudal Mesoderm"	"Evx1os"
"Efna11"	0	0.462488877693131	0.561	0.156	0	"Caudal Mesoderm"	"Efna1"
"Sema6a1"	0	0.459722785235191	0.67	0.218	0	"Caudal Mesoderm"	"Sema6a"
"Fabp71"	0	0.4325234117487	0.478	0.109	0	"Caudal Mesoderm"	"Fabp7"
"Hotairm11"	0	0.389014552835403	0.599	0.152	0	"Caudal Mesoderm"	"Hotairm1"
"Epha5"	0	0.385716354054252	0.375	0.045	0	"Caudal Mesoderm"	"Epha5"
"Hoxb4"	0	0.345570580248622	0.515	0.117	0	"Caudal Mesoderm"	"Hoxb4"
"Hoxb71"	0	0.341526682282526	0.474	0.074	0	"Caudal Mesoderm"	"Hoxb7"
"Dll1"	0	0.33858570337383	0.379	0.071	0	"Caudal Mesoderm"	"Dll1"
"Gbx21"	0	0.319502220093928	0.473	0.106	0	"Caudal Mesoderm"	"Gbx2"
"Sh3gl3"	0	0.306377045853543	0.43	0.096	0	"Caudal Mesoderm"	"Sh3gl3"
"Notum"	0	0.279956424379318	0.38	0.056	0	"Caudal Mesoderm"	"Notum"
"Cxx1a1"	1.51038618611489e-306	0.583917353528947	0.795	0.382	3.36952054260371e-302	"Caudal Mesoderm"	"Cxx1a"
